Date,AAPL,ABT,ADBE,AMD,AMZN,BA,BAC,BLK,BMY,C,CAT,COP,COST,CVX,EOG,GE,GOOGL,GS,HAL,HD,HON,JNJ,JPM,KHC,KO,LLY,LMT,LOW,MCD,MDLZ,MMM,MRK,MS,MSFT,NKE,NVDA,ORCL,PEP,PFE,PG,PSX,SBUX,SLB,TSLA,UNH,UNP,WFC,WMT,XOM
2019-06-12,48.54750061035156,81.94999694824219,276.8399963378906,32.18000030517578,92.76599884033203,347.0299987792969,27.950000762939453,446.25,47.630001068115234,66.80999755859375,127.0999984741211,58.54999923706055,257.2300109863281,120.19000244140625,85.02999877929688,51.236907958984375,53.95500183105469,190.22000122070312,21.06999969482422,198.94000244140625,172.89999389648438,141.67999267578125,109.2699966430664,30.1299991607666,51.63999938964844,115.23999786376953,345.510009765625,96.33000183105469,204.92999267578125,54.54999923706055,141.31271362304688,79.8759536743164,42.619998931884766,131.49000549316406,82.62999725341797,3.6549999713897705,53.619998931884766,133.13999938964844,40.87286376953125,109.68000030517578,83.25,82.93000030517578,35.58000183105469,13.950667381286621,244.5,171.22999572753906,44.90999984741211,36.27333450317383,74.02999877929688
2019-06-13,48.537498474121094,82.29000091552734,276.29998779296875,31.389999389648438,93.51499938964844,348.8599853515625,27.940000534057617,448.2799987792969,47.33000183105469,67.08000183105469,127.16999816894531,59.060001373291016,259.7099914550781,120.91000366210938,86.48999786376953,51.38643264770508,54.550498962402344,191.4499969482422,21.65999984741211,202.35000610351562,173.19000244140625,140.7100067138672,109.54000091552734,30.40999984741211,51.130001068115234,111.81999969482422,349.0799865722656,98.62000274658203,204.49000549316406,54.650001525878906,141.17892456054688,79.1030502319336,42.95000076293945,132.32000732421875,83.61000061035156,3.7065000534057617,53.84000015258789,132.94000244140625,40.32258224487305,110.91000366210938,85.23999786376953,83.3499984741211,36.790000915527344,14.260666847229004,244.9600067138672,167.14999389648438,45.290000915527344,36.21666717529297,74.68000030517578
2019-06-14,48.185001373291016,82.22000122070312,274.2799987792969,30.360000610351562,93.4834976196289,347.1600036621094,28.040000915527344,446.9700012207031,47.560001373291016,67.4800033569336,127.2300033569336,58.81999969482422,260.1499938964844,120.80999755859375,85.16999816894531,50.987701416015625,54.314998626708984,191.66000366210938,21.3799991607666,205.77000427246094,172.80999755859375,140.08999633789062,109.81999969482422,30.309999465942383,51.310001373291016,111.73999786376953,350.1400146484375,99.62999725341797,205.2899932861328,55.04999923706055,139.37290954589844,78.9885482788086,42.81999969482422,132.4499969482422,83.44000244140625,3.615999937057495,53.279998779296875,132.72999572753906,40.56925964355469,111.19999694824219,85.58999633789062,84.23999786376953,35.93000030517578,14.32800006866455,245.3699951171875,166.99000549316406,45.59000015258789,36.356666564941406,74.3499984741211
2019-06-17,48.47249984741211,82.05000305175781,275.6000061035156,29.200000762939453,94.30149841308594,354.8999938964844,27.93000030517578,440.1199951171875,48.209999084472656,66.54000091552734,127.31999969482422,59.0099983215332,261.42999267578125,121.38999938964844,85.47000122070312,50.09055709838867,54.69449996948242,190.8300018310547,21.969999313354492,206.97999572753906,172.36000061035156,139.44000244140625,109.22000122070312,30.170000076293945,50.869998931884766,113.4000015258789,348.69000244140625,100.08000183105469,203.80999755859375,54.75,139.4481658935547,79.48473358154297,42.5099983215332,132.85000610351562,82.11000061035156,3.6257500648498535,53.130001068115234,132.52000427246094,40.68311309814453,110.98999786376953,85.91000366210938,83.0199966430664,36.65999984741211,15.001999855041504,245.97000122070312,164.74000549316406,45.27000045776367,36.38666534423828,75.08999633789062
2019-06-18,49.61249923706055,83.41999816894531,276.7799987792969,30.450000762939453,95.06849670410156,373.9599914550781,28.6200008392334,449.30999755859375,47.790000915527344,67.9800033569336,130.3300018310547,59.83000183105469,262.739990234375,122.93000030517578,88.30000305175781,51.93468475341797,55.262001037597656,194.97999572753906,22.219999313354492,207.47999572753906,175.75,140.22999572753906,110.70999908447266,30.270000457763672,50.63999938964844,114.6500015258789,353.5199890136719,99.30999755859375,204.50999450683594,54.560001373291016,143.69564819335938,80.62023162841797,43.34000015258789,135.16000366210938,84.30000305175781,3.822000026702881,52.900001525878906,132.05999755859375,40.86337661743164,109.5999984741211,86.80000305175781,82.91999816894531,36.93000030517578,14.982666969299316,245.6999969482422,165.5399932861328,46.099998474121094,36.54999923706055,75.73999786376953
2019-06-19,49.467498779296875,84.33000183105469,291.2099914550781,30.5,95.43949890136719,368.55999755859375,28.31999969482422,454.95001220703125,48.61000061035156,67.58999633789062,130.61000061035156,59.650001525878906,263.6600036621094,122.88999938964844,88.6500015258789,51.535953521728516,55.22549819946289,195.63999938964844,21.809999465942383,207.94000244140625,175.41000366210938,140.4499969482422,109.91000366210938,30.959999084472656,51.119998931884766,115.2300033569336,355.7300109863281,98.7300033569336,204.5500030517578,55.060001373291016,142.76756286621094,81.45037841796875,43.13999938964844,135.69000244140625,83.55000305175781,3.828000068664551,52.68000030517578,132.85000610351562,41.27134704589844,110.41999816894531,87.5999984741211,83.80999755859375,36.5099983215332,15.095333099365234,250.19000244140625,165.92999267578125,45.650001525878906,36.540000915527344,75.31999969482422
2019-06-20,49.8650016784668,84.94000244140625,302.1099853515625,30.010000228881836,95.90950012207031,374.8800048828125,28.270000457763672,465.5799865722656,48.88999938964844,68.0999984741211,133.6300048828125,60.70000076293945,267.3500061035156,124.27999877929688,91.44999694824219,52.981353759765625,55.65999984741211,195.6999969482422,22.8799991607666,211.25,176.2899932861328,142.2100067138672,110.19000244140625,31.1299991607666,51.65999984741211,115.55999755859375,362.79998779296875,101.44000244140625,205.1199951171875,55.459999084472656,145.43478393554688,80.72518920898438,43.459999084472656,136.9499969482422,85.23999786376953,3.8524999618530273,56.9900016784668,134.16000366210938,41.3662223815918,111.73999786376953,90.83000183105469,84.69000244140625,38.25,14.641332626342773,247.75999450683594,167.42999267578125,45.86000061035156,36.77333450317383,76.61000061035156
2019-06-21,49.69499969482422,85.0,299.3299865722656,29.100000381469727,95.56500244140625,371.8399963378906,28.1200008392334,468.239990234375,49.34000015258789,67.97000122070312,133.88999938964844,60.33000183105469,266.1300048828125,124.93000030517578,92.37000274658203,52.233734130859375,56.26850128173828,195.94000244140625,22.84000015258789,209.38999938964844,174.30999755859375,142.08999633789062,109.44000244140625,31.479999542236328,51.54999923706055,115.48999786376953,359.3599853515625,100.83999633789062,204.25999450683594,55.25,144.94146728515625,80.69656372070312,43.58000183105469,136.97000122070312,85.75,3.7939999103546143,56.119998931884766,133.9600067138672,41.43263626098633,111.19999694824219,90.58000183105469,83.81999969482422,38.880001068115234,14.790666580200195,252.27999877929688,168.8699951171875,46.88999938964844,37.043331146240234,77.69000244140625
2019-06-24,49.64500045776367,84.70999908447266,299.8699951171875,29.260000228881836,95.69499969482422,373.989990234375,27.979999542236328,463.3999938964844,45.68000030517578,67.41000366210938,134.3699951171875,60.52000045776367,266.7699890136719,124.91000366210938,90.55999755859375,51.236907958984375,55.834999084472656,197.49000549316406,22.510000228881836,205.5,174.61000061035156,143.05999755859375,108.66000366210938,30.520000457763672,51.91999816894531,115.62999725341797,359.9800109863281,99.0199966430664,203.9199981689453,55.33000183105469,144.966552734375,81.59351348876953,43.06999969482422,137.77999877929688,84.5,3.816499948501587,56.7400016784668,134.13999938964844,41.518028259277344,112.33000183105469,89.76000213623047,83.6500015258789,38.650001525878906,14.909333229064941,249.63999938964844,167.25,46.27000045776367,37.08000183105469,76.94999694824219
2019-06-25,48.89250183105469,84.23999786376953,287.9700012207031,28.860000610351562,93.91349792480469,369.32000732421875,27.760000228881836,458.3599853515625,45.77000045776367,66.54000091552734,133.7100067138672,59.77000045776367,266.3599853515625,123.63999938964844,90.04000091552734,50.93785858154297,54.37900161743164,196.05999755859375,22.5,204.74000549316406,173.94000244140625,144.24000549316406,107.76000213623047,30.68000030517578,51.7599983215332,115.36000061035156,360.55999755859375,98.22000122070312,205.7100067138672,55.47999954223633,143.83779907226562,81.33587646484375,42.65999984741211,133.42999267578125,82.62000274658203,3.7869999408721924,56.06999969482422,133.80999755859375,41.518028259277344,111.72000122070312,89.83000183105469,84.25,38.58000183105469,14.650667190551758,247.66000366210938,166.36000061035156,46.13999938964844,36.90666580200195,76.2699966430664
